id,keys,game
2305180016,"[[0], [], [], [], [], [], [], [], [2], [2], [2], [4], [4], [4], [], [], [], [], [2], [2], [], [], [], [], [], [], [4], [4], [4], [3, 4], [3, 4], [3], [], [], [], [], [], [4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4]]",celest
2305180021,"[[], [], [], [], [4], [0, 4], [0, 4], [0, 4], [], [], [], [], [], [], [], [], [4], [4], [0, 4], [0], [3], [], [], [], [], [], [], [], [], [], [4, 3], [], [], [], [], [], [], [], [], [], [], [], [], [2], [2]]",celest
2305180027,"[[], [4, 3], [4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [3], [3], [3], [], [], [], [], [2, 4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [2], [], [], [], [], [2], [2], [2], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3]]",celest
2305180032,"[[2], [2], [], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [], [], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [], [], [], [], [], []]",celest
2305180038,"[[3], [], [], [2], [2], [2], [4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [2], [], [], [], [], [], [], [], [], [], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3]]",celest
2305180043,"[[0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [4, 2], [2], [4, 2], [4, 2], [4, 2], [4, 2], [4, 2], [2], [2], [2], [4, 2], [4, 2], [4, 2], [4, 2], [2], [2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180048,"[[], [], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [], [], [], [], [2], [4, 2], [4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 4, 2], [0, 2], [0, 2], [0, 2], [0, 4, 2], [0, 4, 2], [0, 4, 2], [0, 5, 4, 2]]",celest
2305180054,"[[3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [2, 3], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [], [], [2], [2], [2], [2], [2], [], [], [], [], [2, 4], [2, 4], [3, 4], [3, 4], [3], [3], [3]]",celest
2305180059,"[[3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [0, 4, 3], [0, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 5, 4, 3], [0, 4, 3], [0, 4, 3], [0, 4, 3], [0, 2, 4, 3], [0, 2, 4, 3], [0, 2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2], [2, 4], [2, 4], [2], [2], [], [], [], [], [], [2], [2]]",celest
2305180005,"[[3], [], [2], [2], [2], [2], [2], [2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], []]",celest
2305180010,"[[0, 2, 4], [0, 2], [2], [], [], [], [], [], [], [], [], [], [], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [4, 3], [0, 4, 3], [4, 3], [2, 4], [2, 4]]",celest
2305180015,"[[2], [2], [2], [2], [2, 4], [2, 4], [2, 4], [2, 4], [2], [2], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2], [2], [2], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3], [], [2], [4, 2], [4, 2], [4, 2], [4, 2], [0, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 4, 2], [0, 2], [0, 4, 2]]",celest
2305180021,"[[4, 3], [4, 3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [], [], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 5, 2, 4], [0, 2, 4], [0, 2], [0, 2], [0, 2], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2], [0, 2], [2], [2], [], [], [], [3], [3], [3]]",celest
2305180026,"[[3], [3], [3], [3], [3], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []]",celest
2305180032,"[[], [], [], [4], [4], [4], [4], [3], [3], [3, 4], [3, 4], [3, 4], [3], [3], [3], [2], [2], [2], [], [], [], [], [], [], [], [], [], [], [], [], [], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [3]]",celest
2305180037,"[[4, 2], [0, 4, 2], [0], [], [], [], [], [], [], [], [], [3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [], [], [], [], [4], [3, 4], [3, 4], [3, 4], [3, 4], [3, 4], [3]]",celest
2305180043,"[[3], [3], [4, 3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [3], [3], [3], [4, 3], [4, 3], [4, 3], [3], [3], [3], [], [], [], [], [4], [3, 4], [3, 4], [3, 4], [3], [3], [3, 4], [3, 4], [3, 4], [3, 4], [3], [3], [2], [4, 2], [4, 2], [0, 4, 2], [0, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 5, 4, 2], [0, 2]]",celest
2305180048,"[[4, 3], [3], [3], [3], [3], [], [], [], [], [], [], [], [3, 4], [3, 4], [3, 4], [3, 4], [3], [3], [3, 4], [3, 4], [0, 2, 3, 4], [0, 2, 4], [0, 2, 4], [0, 2, 4], [0, 2], [2], [], [], [], [], [], [], [], [], [], [3], [3], [3], [3], [3], [3], [3], [3], [3], [4, 3]]",celest
